################# 10/1 ###################
git commit: 1d87441407ed911dadc36dbd3b5c73090cafbc93
fold 0:
 [1705/1705 39:06, Epoch 5/5]
Step	Training Loss	Validation Loss	Rmse
100	    No log		0.879778	0.937965
200	    No log		0.720292	0.848700
300	    No log		0.525268	0.724754
400	    No log		0.397081	0.630143
500	    0.713300	0.374877	0.612272
600	    0.713300	0.370780	0.608917
700	    0.713300	0.323817	0.569049
800	    0.713300	0.320346	0.565991
900	    0.713300	0.296196	0.544239
1000	0.308700	0.310685	0.557392
1100	0.308700	0.331619	0.575864
1200	0.308700	0.323587	0.568847
1300	0.308700	0.307849	0.554841
1400	0.308700	0.336238	0.579860
1500	0.276200	0.316244	0.562356
1600	0.276200	0.318283	0.564166
1700	0.276200	0.314222	0.560555
fold 1:
 [1720/1720 38:59, Epoch 5/5]
Step	Training Loss	Validation Loss	Rmse
100	    No log		1.173639	1.083346
200	    No log		1.069379	1.034108
300	    No log		1.047440	1.023445
400	    No log		1.027264	1.013540
500	    0.791100	1.004519	1.002257
600	    0.791100	0.968083	0.983912
700	    0.791100	0.979838	0.989868
800	    0.791100	0.988268	0.994117
900	    0.791100	0.922873	0.960663
1000	0.547400	0.914665	0.956381
1100	0.547400	0.847423	0.920556
1200	0.547400	0.817952	0.904407
1300	0.547400	0.857583	0.926058
1400	0.547400	0.836229	0.914455
1500	0.354600	0.804737	0.897071
1600	0.354600	0.819780	0.905417
1700	0.354600	0.792250	0.890085
fold 2:
 [1725/1725 39:08, Epoch 5/5]
Step	Training Loss	Validation Loss	Rmse
100	    No log		0.931641	0.965215
200	    No log		0.793495	0.890783
300	    No log		0.656136	0.810022
400	    No log		0.575985	0.758936
500	    0.867000	0.635845	0.797399
600	    0.867000	0.571561	0.756016
700	    0.867000	0.403058	0.634868
800	    0.867000	0.399006	0.631669
900	    0.867000	0.345576	0.587857
1000	0.451200	0.323092	0.568412
1100	0.451200	0.320734	0.566334
1200	0.451200	0.309687	0.556495
1300	0.451200	0.319559	0.565295
1400	0.451200	0.313061	0.559519
1500	0.292200	0.306360	0.553498
1600	0.292200	0.309856	0.556648
1700	0.292200	0.308823	0.555718
fold 3:
 [2025/2025 39:43, Epoch 5/5]
Step	Training Loss	Validation Loss	Rmse
100	    No log		1.227182	1.107783
200	    No log		1.137831	1.066692
300	    No log		1.011992	1.005978
400	    No log		0.934684	0.966790
500	    0.788500	0.892168	0.944547
600	    0.788500	0.876721	0.936334
700	    0.788500	0.794684	0.891451
800	    0.788500	0.716057	0.846202
900	    0.788500	0.702804	0.838334
1000	0.455400	0.610094	0.781085
1100	0.455400	0.609872	0.780943
1200	0.455400	0.601010	0.775248
1300	0.455400	0.627180	0.791947
1400	0.455400	0.578404	0.760529
1500	0.276100	0.618990	0.786759
1600	0.276100	0.608116	0.779818
1700	0.276100	0.582176	0.763004
1800	0.276100	0.612374	0.782544
1900	0.276100	0.601895	0.775819
2000	0.259000	0.598452	0.773597

